prot16920-prot20601,3.352
prot9236-prot20619,2.046
prot12444-prot20619,1.695
prot8105-prot20619,1.618
prot4246-prot20617,1.529
prot102-prot20617,1.529
prot1445-prot20617,1.526
prot17213-prot20619,1.475
prot1445-prot20603,1.453
prot103-prot20603,1.445
prot4247-prot20603,1.445
prot4246-prot20603,1.444
prot102-prot20603,1.444
prot14685-prot20608,1.424
prot20296-prot20603,1.424
prot16397-prot20606,1.418
prot243-prot20603,1.415
prot4959-prot20606,1.383
prot3681-prot20628,1.374
prot703-prot20619,1.372
prot17557-prot20606,1.372
prot3681-prot20601,1.369
prot19919-prot20627,1.361
prot9466-prot20628,1.341
prot19919-prot20625,1.322
prot7086-prot20617,1.321
prot7026-prot20623,1.298
prot16851-prot20628,1.296
prot3916-prot20620,1.287
prot5468-prot20627,1.286
prot7907-prot20619,1.279
prot6376-prot20628,1.264
prot1171-prot20608,1.261
prot8104-prot20619,1.260
prot3759-prot20603,1.259
prot1378-prot20608,1.258
prot7086-prot20603,1.255
prot14136-prot20627,1.251
prot6576-prot20624,1.243
prot7842-prot20601,1.233
prot18939-prot20624,1.221
prot4500-prot20601,1.184
prot5526-prot20623,1.177
prot1449-prot20608,1.163
prot5292-prot20601,1.157
prot13514-prot20625,1.153
prot7010-prot20623,1.148
prot16155-prot20627,1.132
prot5784-prot20628,1.131
prot1418-prot20608,1.112
prot7552-prot20623,1.099
prot12651-prot20606,1.084
prot1015-prot20608,1.066
prot19043-prot20628,1.063
prot12981-prot20601,1.051
prot16654-prot20625,1.021
prot12875-prot20628,1.018
prot9410-prot20623,1.007
prot14793-prot20628,1.005
prot8106-prot20608,1.003
prot9237-prot20619,0.989
prot6450-prot20627,0.967
prot8734-prot20619,0.963
prot18587-prot20627,0.950
prot4926-prot20601,0.942
prot17432-prot20601,0.937
prot5369-prot20601,0.936
prot19632-prot20601,0.930
prot20464-prot20601,0.929
prot18923-prot20601,0.920
prot10873-prot20601,0.919
prot5488-prot20627,0.913
prot1454-prot20603,0.907
prot1684-prot20622,0.902
prot17319-prot20604,0.897
prot11580-prot20628,0.893
prot16934-prot20628,0.891
prot12891-prot20623,0.888
prot1640-prot20604,0.875
prot19316-prot20619,0.874
prot19578-prot20601,0.869
prot11086-prot20601,0.866
prot5910-prot20601,0.859
prot5817-prot20601,0.858
prot4791-prot20627,0.854
prot13885-prot20601,0.852
prot2321-prot20601,0.840
prot8050-prot20619,0.828
prot16428-prot20627,0.820
prot7002-prot20603,0.820
prot19578-prot20627,0.812
prot20296-prot20617,0.809
prot537-prot20619,0.807
prot14750-prot20628,0.799
prot4341-prot20601,0.795
prot17515-prot20606,0.794
prot6691-prot20603,0.790
prot11642-prot20601,0.788
prot3854-prot20627,0.788
prot20376-prot20601,0.782
prot11852-prot20601,0.775
prot20130-prot20601,0.771
prot10373-prot20603,0.754
prot5492-prot20627,0.753
prot10040-prot20619,0.753
prot6926-prot20609,0.748
prot7020-prot20603,0.740
prot7026-prot20602,0.740
prot11605-prot20601,0.722
prot7091-prot20619,0.721
prot5917-prot20628,0.714
prot5115-prot20603,0.713
prot3783-prot20601,0.709
prot11834-prot20601,0.707
prot4247-prot20617,0.707
prot3684-prot20619,0.706
prot19813-prot20603,0.703
prot3735-prot20601,0.698
prot39-prot20601,0.689
prot3445-prot20601,0.687
prot30-prot20601,0.687
prot3899-prot20609,0.671
prot3087-prot20627,0.665
prot3987-prot20601,0.661
prot11551-prot20627,0.661
prot12147-prot20628,0.661
prot9598-prot20624,0.657
prot8594-prot20619,0.647
prot5717-prot20603,0.644
prot8678-prot20627,0.644
prot4930-prot20627,0.644
prot243-prot20617,0.634
prot7061-prot20628,0.634
prot18592-prot20628,0.630
prot277-prot20601,0.625
prot7552-prot20602,0.625
prot18322-prot20612,0.622
prot3765-prot20601,0.622
prot5638-prot20601,0.619
prot34-prot20601,0.618
prot3681-prot20610,0.618
prot12479-prot20628,0.613
prot16385-prot20619,0.613
prot3854-prot20601,0.611
prot12086-prot20619,0.608
prot11353-prot20601,0.600
prot12530-prot20601,0.597
prot3681-prot20612,0.592
prot6174-prot20610,0.588
prot3966-prot20627,0.586
prot8373-prot20623,0.575
prot103-prot20617,0.572
prot1933-prot20619,0.551
prot18935-prot20628,0.550
prot15903-prot20619,0.548
prot8106-prot20629,0.544
prot5231-prot20609,0.539
prot12543-prot20626,0.535
prot1570-prot20601,0.530
prot5817-prot20627,0.526
prot17029-prot20627,0.524
prot16174-prot20602,0.524
prot3473-prot20601,0.516
prot20293-prot20619,0.506
prot4960-prot20606,0.504
prot4561-prot20623,0.504
prot10669-prot20625,0.503
prot18358-prot20601,0.503
prot5487-prot20627,0.501
prot1844-prot20612,0.500
prot7138-prot20603,0.496
prot19534-prot20617,0.491
prot7100-prot20623,0.473
prot19918-prot20619,0.473
prot7149-prot20624,0.470
prot11450-prot20624,0.467
prot18703-prot20619,0.460
prot7139-prot20617,0.458
prot4794-prot20627,0.453
prot8109-prot20623,0.452
prot8552-prot20624,0.450
prot5115-prot20617,0.449
prot16318-prot20627,0.440
prot7044-prot20603,0.429
prot10390-prot20627,0.427
prot10058-prot20603,0.425
prot19813-prot20628,0.422
prot5690-prot20601,0.422
prot7571-prot20603,0.418
prot7139-prot20621,0.418
prot5079-prot20601,0.416
prot3358-prot20601,0.405
prot8014-prot20606,0.405
prot4265-prot20601,0.398
prot3472-prot20601,0.398
prot2652-prot20624,0.391
prot5825-prot20623,0.390
prot4264-prot20601,0.386
prot13514-prot20627,0.383
prot11980-prot20619,0.379
prot4416-prot20606,0.378
prot4137-prot20619,0.372
prot8046-prot20617,0.370
prot2158-prot20617,0.363
prot7650-prot20604,0.354
prot3967-prot20603,0.337
prot20280-prot20620,0.336
prot17986-prot20623,0.334
prot1445-prot20628,0.334
prot4246-prot20628,0.327
prot102-prot20628,0.327
prot4569-prot20625,0.327
prot4560-prot20623,0.326
prot20280-prot20617,0.325
prot103-prot20628,0.324
prot6231-prot20623,0.323
prot16174-prot20627,0.317
prot3681-prot20624,0.315
prot3908-prot20601,0.315
prot4247-prot20628,0.313
prot10102-prot20617,0.312
prot14656-prot20623,0.311
prot20296-prot20628,0.306
prot1528-prot20603,0.304
prot20507-prot20624,0.301
prot243-prot20628,0.300
prot3255-prot20623,0.299
prot5087-prot20601,0.295
prot6727-prot20623,0.290
prot10706-prot20601,0.290
prot12202-prot20619,0.289
prot3927-prot20625,0.285
prot1281-prot20623,0.282
prot15842-prot20619,0.280
prot4606-prot20601,0.278
prot10102-prot20621,0.271
prot4800-prot20601,0.271
prot17989-prot20628,0.266
prot7087-prot20617,0.263
prot8106-prot20602,0.262
prot7112-prot20603,0.261
prot3316-prot20619,0.256
prot715-prot20601,0.255
prot961-prot20608,0.253
prot7087-prot20621,0.251
prot2609-prot20608,0.242
prot1001-prot20608,0.239
prot13547-prot20627,0.234
prot4138-prot20619,0.234
prot1181-prot20601,0.233
prot3806-prot20601,0.231
prot5288-prot20609,0.225
prot15368-prot20619,0.225
prot1432-prot20608,0.221
prot15617-prot20628,0.218
prot1431-prot20608,0.217
prot1584-prot20627,0.217
prot3805-prot20601,0.216
prot9411-prot20619,0.211
prot19632-prot20627,0.211
prot1437-prot20608,0.211
prot4788-prot20627,0.210
prot3855-prot20627,0.204
prot11012-prot20601,0.198
prot12007-prot20631,0.192
prot12691-prot20631,0.192
