node,name
prot274,IGHJ1
prot275,TRGJP
prot276,IGKV1-8
prot277,IGKV2-24
prot278,IGKV1-9
prot279,IGKV1-6
prot280,IGKV1-12
prot281,IGKV3OR2-268
prot282,MT-RNR1
prot283,CCDC163
prot284,MUC21
prot285,ENSG00000257215
prot286,KRTAP4-8
prot287,ASIC5
prot288,IGHD5OR15-5A
prot289,ENSG00000274243
prot290,ENSG00000276676
prot291,PRAMEF33
prot292,LOC107984156
prot293,HLA-DRA
prot294,IGHV1-69-2
prot295,ENSG00000274971
prot296,ENSG00000278776
prot297,ENSG00000275428
prot298,KIR3DP1
prot299,ENSG00000282676
prot300,ENSG00000278414
prot301,ENSG00000274063
prot302,KIR2DP1
prot303,ENSG00000274563
prot304,ENSG00000278178
prot305,ENSG00000276253
prot306,HNRNPCL2
prot307,ENSG00000277596
prot308,PRAMEF9
prot309,ENSG00000275798
prot310,ENSG00000274707
prot311,HNRNPCL4
prot312,ENSG00000278401
prot313,ENSG00000275306
prot314,ENSG00000280514
prot315,ENSG00000281757
prot316,ENSG00000281759
prot317,IGLV5-39
prot318,IGHJ6
prot319,IGHJ5
prot320,IGHJ4
prot321,IGHV7-4-1
prot322,IGHJ3
prot323,IGHD3-9
prot324,ENSG00000282822
prot325,IGHD3-3
prot326,ENSG00000288599
prot327,TEX13C
prot328,IGHJ2
prot329,TRBJ1-3
prot330,ENSG00000278082
prot331,TRBJ1-6
prot332,TRBJ1-2
prot333,IGHV3-64D
prot334,MAGEB6B
prot335,TRBV6-9
prot336,PNMA6F
prot337,TRBJ1-1
prot338,TRBJ1-4
prot339,TRBJ1-5
prot340,IGHD3-10
prot341,PNMA6E
prot342,LINC00514
prot343,IGHV5-10-1
prot344,TRBV6-2
prot345,TEX13D
prot346,ENSG00000282150
prot347,TRBV10-1
prot348,TRBV6-5
prot349,TRBV30
prot350,TRBV11-1
prot351,TRBV27
prot352,TRBV6-1
prot353,TRBV7-7
prot354,TRBV10-3
prot355,TRBV10-2
prot356,CD300H
prot357,GOLGA6L10
prot358,IGHD5-12
prot359,GLYATL1B
prot360,DPEP2NB
prot361,ENSG00000277535
prot362,KLF18
prot363,TMEM275
prot364,CENPVL1
prot365,C1orf232
prot366,ENSG00000236782
prot367,NBDY
prot368,CENPVL3
prot369,LBHD2
prot370,MMP24OS
prot371,SPTY2D1OS
prot372,ENSG00000182974
prot373,OR2A2
prot374,OR2A25
prot375,CRYAA2
prot376,MUC21
prot377,ENSG00000262748
prot378,LOC100996750
prot379,KRTAP9-6
prot380,LCE6A
prot381,KIR2DL1
prot382,TUNAR
prot383,C3orf85
prot384,TEX49
prot385,CNTNAP3C
prot386,ENSG00000261341
prot387,CSNKA2IP
prot388,LOC100505841
prot389,CCDC201
prot390,TMEM272
prot391,ENSG00000268655
prot392,FAM237A
prot393,FAM236D
prot394,C20orf204
prot395,CYP2D7
prot396,MYMX
prot397,EDDM13
prot398,CXorf51A
prot399,SPRR5
prot400,HSFX4
prot401,ZC3H11B
prot402,CTXND1
prot403,LMLN2
prot404,TEX50
prot405,CCDC196
prot406,SMIM28
prot407,TEX53
prot408,CFAP97D2
prot409,SMIM32
prot410,CCDC195
prot411,TEX51
prot412,C13orf46
prot413,MYOCOS
prot414,BRD3OS
prot415,PNMA8C
prot416,ENSG00000230626
prot417,FAM236A
prot418,C19orf85
prot419,UBE2L5
prot420,C10orf143
prot421,C17orf113
prot422,ENSG00000262165
